epoch,lr,loss,iou,val_loss,val_iou
0,0.0001,1.2089514937894097,0.03102489177311427,1.1869845520548459,1.3719591928770851e-09
1,0.0001,1.1538940544786125,0.06988646845169316,1.1522849046883463,1.3719591928770851e-09
2,0.0001,1.1377309437455803,0.10989174891702143,1.1386600732803345,0.011593966884150372
3,0.0001,1.128172414056186,0.12553792785634044,1.1347174103520496,0.143944553854731
4,0.0001,1.117829022736385,0.14113385965865363,1.1312985710737085,0.1432644101765688
5,0.0001,1.1144961365338029,0.1442366313021395,1.1271336940156311,0.12643613675571824
6,0.0001,1.103425227362534,0.15474569022838924,1.1103020074988614,0.16854642337382997
7,0.0001,1.0957035853944976,0.1617484099518486,1.102035759877758,0.16692961736397657
8,0.0001,1.0892488380958294,0.16725113677095638,1.0881277663367135,0.18449861487819075
9,0.0001,1.0816950633608062,0.17623401832624952,1.083818474737536,0.19925172996324164
10,0.0001,1.0748378079513023,0.18550021335588698,1.0830819616798593,0.18905993681642386
11,0.0001,1.0680226251996796,0.19540926466607356,1.0710120712007796,0.19177834421608092
12,0.0001,1.0620264637059178,0.19856460571913942,1.0650641236986433,0.19304038103108875
13,0.0001,1.056197713161337,0.20238235360903,1.062677753071825,0.19700179068979312
14,0.0001,1.0510906844303525,0.20018407400928662,1.063944332739886,0.19643255908400303
15,0.0001,1.0426648731889396,0.22020872224404464,1.0522447814460563,0.20073693320828004
16,0.0001,1.037867044580394,0.21745816496338538,1.034220496145617,0.1999756533469951
17,0.0001,1.0320610917847732,0.22131554722093255,1.036483516212271,0.22972323696511038
18,0.0001,1.025241259870858,0.23139024148910356,1.0420875439122945,0.18630969482517173
19,0.0001,1.0195307197241947,0.23320797468407414,1.0264496823318867,0.22125667944071098
20,0.0001,1.0140574841663754,0.2390831457161859,1.0242266063930607,0.20944014695403393
21,0.0001,1.0063203552673603,0.24855527056662063,1.0180060352597917,0.19113582663003392
22,0.0001,1.0008697982492119,0.24507251319880202,1.0140764072161763,0.2446553745878603
23,0.0001,0.9927889704704285,0.25885208449173175,1.014258990768625,0.2063086950021013
24,0.0001,0.9881410434328276,0.25658945957333523,0.9859106069853326,0.2307851281085909
25,0.0001,0.980483499066583,0.26713342516406996,0.9968709785397313,0.2404232191853412
26,0.0001,0.973686947904784,0.273555973792371,1.0005538403487004,0.21790422366235038
27,0.0001,0.9689286268990616,0.2694561931550496,0.9742920924635494,0.23708608271469306
28,0.0001,0.9619171454988676,0.2763352984460634,0.9690776031558254,0.21609020568489914
29,0.0001,0.9549703392489203,0.28125937966148973,0.9722987072808402,0.22586709963866686
30,0.0001,0.9491875603281218,0.2828405208795791,0.9444864417324547,0.22597288644939345
31,0.0001,0.9410015426833054,0.29273763146536835,0.9453955763528327,0.23668467853872888
32,0.0001,0.9361780779115085,0.2868874937649549,0.9535632609319287,0.2480479563631998
33,0.0001,0.9291132894055597,0.2916413253286868,0.9640027985853308,0.2221529481239744
34,0.0001,0.9236952128081486,0.2924195971189423,0.9449765346631283,0.21217736001024542
35,0.0001,0.9146739552760946,0.3034625885120614,0.9227369057030237,0.2301638574411108
36,0.0001,0.9069288455206772,0.30270201608716263,0.9648270972636568,0.25607367228966066
37,0.0001,0.8989933585298473,0.3103300591614023,0.9116244927173903,0.2530154378352144
38,0.0001,0.8889459371566772,0.32198844986504727,0.8551827218352246,0.258239034194364
39,0.0001,0.8843965592055485,0.3182162376570763,0.9341895690485209,0.23899652465905089
40,0.0001,0.8776764335303471,0.3173326405625408,0.9090180862851504,0.24669517619456435
41,0.0001,0.870694768839869,0.3204910452982598,0.9224308318450671,0.2408053952505436
